session_id,day,original_sentence,feedback_text,changes_made,code,notes,suggested_code,scent_quality,direction,needs_review
4c17b31c-f278-4b4b-9ddc-8ccf499243a0,6/3/26,Kinuko.,It needs to be sweeter,"Reduced Garlic duration by 5 seconds and Cilantro by 5 seconds, while maintaining their presence. Added Almonds with a duration of 20 seconds to introduce the desired sweet note, and adjusted Sweet Potato to 20 seconds to keep its identity while balancing the overall composition.",sweeter,,,Sweet,,
4c17b31c-f278-4b4b-9ddc-8ccf499243a0,6/3/26,Kinuko.,Make it even sweeter.,"Reduced Cilantro duration to 5 seconds, decreased Sweet Potato to 15 seconds. Increased Almonds duration to 30 seconds to amplify sweetness and adjusted Garlic to maintain its presence.",sweeter,,,Sweet,,
77195ffd-25f4-489d-addb-894a99c60276,6/4/26,"What do I like to smell? Yeah, what would you like to smell right now? Lavender. Lavender.",To be a little sweeter more floral and it will,Reduced durations of Cilantro and Mugwort by 5 seconds each; added Sweet Potato for more sweetness (15 seconds); adjusted Spearmint from 30 seconds to 25 seconds to maintain the total of 60 seconds.,"sweeter, more floral",,,"Sweet, Fragrant",increase,
77195ffd-25f4-489d-addb-894a99c60276,6/4/26,"What do I like to smell? Yeah, what would you like to smell right now? Lavender. Lavender.","Do less herbal. Yeah, less herbal. Sweeter and more floral.","Replaced 'Cilantro' with 'Almonds' (15 seconds), removed 'Mugwort', and adjusted 'Sweet Potato' to 20 seconds. Reduced 'Spearmint' to 15 seconds and added 'Garlic' for a total of 10 seconds to introduce subtle savory depth.","sweeter, more floral",,,"Sweet, Fragrant",increase,
77195ffd-25f4-489d-addb-894a99c60276,6/4/26,"What do I like to smell? Yeah, what would you like to smell right now? Lavender. Lavender.",Thank you for watching.,No changes made as the latest feedback does not require any adjustments to the scent composition.,,no change noise,,Noise,,
77195ffd-25f4-489d-addb-894a99c60276,6/4/26,"What do I like to smell? Yeah, what would you like to smell right now? Lavender. Lavender.","Try it. You can try it. The lemon there, what you can, you know, you just smell what it is now. Yeah. Now it's more like a garlic for me. So you can order the smell. Yes, you can order. Oh yeah, I can smell something. Right? Let's do Hong Shao Rou.","Reduced 'Spearmint' from 15 seconds to 10 seconds to further decrease herbal notes, while keeping 'Almonds', 'Sweet Potato', and 'Garlic' intact as they represent the sweet and savory balance needed for the target smell.",,noise,,Noise,,
e4b10751-c230-449d-add9-dc2ee2274650,6/4/26,"Well, I know it's not happening, but I am running forward.","Let's do lilac or lily. Does lily have a smell? I think so, lily, floral.","Reduced Garlic, Cumin, and Cilantro durations to allow for the introduction of Angelica and Sweet Potato, addressing the feedback for floral elements while maintaining the savory profile.",floral,,,Fragrant,,
e4b10751-c230-449d-add9-dc2ee2274650,6/4/26,"Well, I know it's not happening, but I am running forward.","Make it stronger, more intense.","Increased the durations of Garlic, Cumin, and Cilantro to 12 seconds each to strengthen their presence. Reduced Spearmint to 6 seconds and slightly adjusted Angelica to 8 seconds for a more robust blend, while keeping Sweet Potato consistent at 10 seconds.",,noise,,Noise,,
2dec8b48-6471-4f61-b20b-a71360621db5,6/8/26,焼肉,to be spicier.,Swapped Sweet Potato for Cloves to enhance spiciness while keeping the other scents.,more spicy,,,Spicy,increase,
4b8459f4-54cf-4294-a5b1-e791902a7143,6/8/26,The smell of the sunset.,I'll be cute to it,Adjusted the duration of Benz sal to 30 seconds and reduced Lavendar oil to 15 seconds.,,noise,,Noise,,
4b8459f4-54cf-4294-a5b1-e791902a7143,6/8/26,The smell of the sunset.,Add barbeque.,"Reduced Citronelly acet duration to 10s, kept Benz sal at 25s, added Garlic for barbecue scent for 10s, and maintained Lavendar oil at 15s.",sweeter,,,Sweet,,
4b8459f4-54cf-4294-a5b1-e791902a7143,6/8/26,The smell of the sunset.,"Thank you, more spices!","Reduced Citronelly acet to 5s, Benz sal to 20s, added Cilantro for 10s, and retained Garlic and Lavendar oil.",more spicy,,,Spicy,increase,
6c7b2d3a-3c2a-4e53-8752-c50edfb5f04a,6/8/26,Toilet paper.,Get stinkier. Add some poop to it.,Replaced Benz sal and Lavendar oil with Garlic and Cloves to add stinkiness. Maintained Citronelly acet for Eucalipto for a fresh closing.,decayed,,,Decayed,,
38833730-c173-405e-bdb5-4b7fdaa43de2,6/14/26,smell of Singapore,It needs to be a little bit more sour.,Replaced Spearmint with Sweet Potato to address the feedback for more sourness while keeping the overall duration and sequence intact.,sour,,,Citrus,,
d8a0640d-6a25-4460-844a-16750f3cdfcc,6/14/26,I want the smell of walking through Chinatown in Singapore and smelling the chiffon cakes.,"The smells were quite sharp. I wish there were less spices. I think the smell of garlic and cloves was maybe, yeah, a little too intense. I wish it were a bit sweeter.",Removed Cloves and Garlic; added Peanuts while keeping Sweet Potato and Almonds.,sweeter,,,Sweet,,
08231acb-3fad-4c82-bf2f-05a58ec8d7f5,6/15/26,When I was in Singapore I was on a really breezy bright rooftop overlooking the skyline and I was having a very sweet and fruity cocktail.,"It was a little too, like, spice heavy. I'm wondering if maybe it can focus more on, like, airy, airy smells, like less cilantro.",Replaced Cilantro with Eucalipto and added Citronelly acet for an airy feel while retaining Sweet Potato.,floral,,,Fragrant,,
535ea2f6-cdec-4c83-9596-50f383725708,6/15/26,"I came to Chinatown Singapore. I was looking for some food. I found some seafood and I had some really good steamed fish. Toward the end of the day, I actually got food poisoning.","It would be closer to what you had in mind. Well, I mean, garlic, but usually you would put some garlic in steamed fish, I would say. And then like some really savory food, I guess I would say, I can smell some of like saltiness in it. But it's hard to describe. I guess it's hard to say when you have like a diarrhea, like what would that smell be? I don't think it's, I don't know what, what would that, what should I expect, right? I didn't, I didn't smell any of those, unfortunately. You want to smell something that is less pleasant, is that right?","Replaced 'Angelica' with 'Cilantro' for a fresher note, and swapped 'Sweet Potato' for 'Mugwort' to reflect a more unpleasant scent profile.",,noise,,Noise,,
b242e370-fb6a-4147-b6f2-991312eb62eb,6/15/26,I remember like a seaside so there are like a blue wave and kind of and also people are relaxing there so it's really chill and a colorful and I really like staying the time there it's makes me feel refreshing all right,"I want this smell to be a little bit more sweet, like a fruit smell, or a candy smell.",Replaced Lavendar oil with Spearmint to introduce a sweeter scent.,sweeter,,,Sweet,,
5db6f762-f66d-419e-b63a-80150674006c,6/15/26,I went to an interesting museum about hell,that wasn't strong enough can you give me some more punch,Swapped Mate NHS for Garlic to add more intensity while maintaining the same structure and total duration.,floral,,,Fragrant,,
023274dc-0807-45f7-93c6-4c015f896de9,6/15/26,"So, feel free to describe any specific moment or an experience that you've had. So, my friend was asking whether I should be going to the night zoo here in Singapore, and I feel like it might be a weird experience, given that I usually don't like to go to zoos. I did that when I was younger, but the night zoo probably is more about, you know, other kind of impressions and sensitory stuff, you know, because you see less, but you hear more, and you also feel the plants touching you and all of that. And someone else actually said that it's kind of scary when you're a kid, because it's dark and there are all those noises. Does this ever kick in? Yes. Actually, whenever you're ready.","You can be like, oh, by the way, this smell that you're experiencing right now is really popular or it needs to be a little softer or a little heavier. This is fairly flowery. Yeah, very floral. Does it remind you of the zoo that you're talking about? Yeah, I was thinking about plants and so on, but I'm also thinking in terms of sightseeing, which I did a little bit of, which I actually don't like so much because I'm less interested in stuff that people build up like some, what's it called, in theater, they have these backgrounds. It's like, I'd rather go to the supermarket and see how consumption of daily shopping differentiates between countries and see how people actually live, you know?",Adjusted durations for a more balanced sensory arc and swapped 'Mugwort' for 'Citronelly acet' to enhance brightness and freshness. Reduced 'Eucalipto' and 'Lavendar oil' by 1 second each.,floral,,,Fragrant,,
