Timestamp,Target smell,AromaGen Ratio,Similarity (1-7),Feedback,Session ID
8/12/2026 21:01:59,rose,Lavender + Jasmine + Rose 100%,5,,a8e59991-1abd-4a3a-b2c1-d9bfa636ecbf
8/12/2026 21:05:43,tequila,"Eucalyptus 30%, Thyme + Olive Leaf + Seaweed + Garlic 50%, Vinegar 20%",3,,381e5ad8-ea09-48d4-8536-7da0d5dd4244
8/12/2026 21:55:53,petrolium,"Eucalyptus 30%, Birch tar oil + Coffee + Clove Bud 70%",2,,4d88de72-b74b-4569-a883-e04e99ea9835
8/13/2026 3:48:41,shooting star,"Eucalyptus 20%, Orange 50%, Sandalwood 30%",7,,fa8a5f28-90ce-44e8-b878-e91fd6ab03c7
8/13/2026 13:32:12,meaty and spicy Chinese hot pot,"Cognac 15%, Thyme + Olive Leaf + Seaweed + Garlic 55%, Birch tar oil + Coffee + Clove Bud 30%",4,,ffa0410f-f70f-4f0a-97aa-14999302c4e7
8/13/2026 13:33:46,meaty and spicy Chinese hot pot,"Cognac 5%, Thyme + Olive Leaf + Seaweed + Garlic 50%, Birch tar oil + Coffee + Clove Bud 45%",4,increase the spicness and meatiness of the smell,ffa0410f-f70f-4f0a-97aa-14999302c4e7
8/13/2026 13:34:56,meaty and spicy Chinese hot pot,"Thyme + Olive Leaf + Seaweed + Garlic 38%, Birch tar oil + Coffee + Clove Bud 56%, Isovaleric acid 6%",5,"I want the umami beef broth kinda smell, not the texas bbq kind of smell",ffa0410f-f70f-4f0a-97aa-14999302c4e7
8/13/2026 13:36:03,meaty and spicy Chinese hot pot,"Clove Bud + Cumin 22%, Thyme + Olive Leaf + Seaweed + Garlic 75%, Isovaleric acid 3%",5,"more of that newly added spice, less seaweed kinda smell",ffa0410f-f70f-4f0a-97aa-14999302c4e7
8/13/2026 13:36:50,meaty and spicy Chinese hot pot,"Clove Bud + Cumin 62%, Thyme + Olive Leaf + Seaweed + Garlic 35%, Isovaleric acid 3%",6,,ffa0410f-f70f-4f0a-97aa-14999302c4e7
8/13/2026 15:06:49,rose,"Orange 18%, Lavender + Rose 82%",6,"So the scent in the beginning was most similar to roast, but at the end there was a note that was a little bit off. So remove that scent.",88f3b699-07a6-4bbf-b554-2c16fc41904f
8/13/2026 15:08:27,rose,Orange 100%,2,,88f3b699-07a6-4bbf-b554-2c16fc41904f
8/13/2026 15:11:26,lavendar,"Eucalyptus 35%, Sandalwood 65%",5,It needs a stronger lavender scent.,476e4e87-8628-44f1-99b8-1d24044925a1
8/13/2026 15:12:00,lavendar,"Lavender + Rose 85%, Sandalwood 15%",7,,476e4e87-8628-44f1-99b8-1d24044925a1
8/13/2026 15:14:39,peony and rose oil shampoo,"Benz Sal 68%, Lavender + Rose 32%",4,there is no clean shampoo soapy smell so add more of the soapy smell with the floral undertone,bd1ae915-6990-4917-96a0-148ee71c1929
8/13/2026 15:19:20,peony and rose oil shampoo,"Lavender + Rose 15%, Benz Sal 85%",4,"There is no soapy smell, I just smell flowers. So add more of the soapy smell.",0b7a69d9-4bd6-45af-8cb7-78ee53246883
8/13/2026 15:22:06,peony and rose oil shampoo,"Cognac 45%, Lavender + Rose 30%, Benz Sal 25%",5,Give me more chemical smell with the floral.,0b7a69d9-4bd6-45af-8cb7-78ee53246883
8/13/2026 15:25:54,jasmine tea,"Benz Sal 65%, Sandalwood 35%",6,,f4518a4f-9a97-4e05-bfc4-605affda7021
8/13/2026 15:30:19,ginger,"Orange 30%, Clove Bud + Cumin 70%",5,Reduce the orange smell.,85b107aa-b30e-4f8c-bc69-000684994d1a
8/13/2026 15:30:19,ginger,"Orange 10%, Clove Bud + Cumin 90%",5,,85b107aa-b30e-4f8c-bc69-000684994d1a
8/13/2026 15:39:51,rose,"Orange 15%, Lavender + Rose 70%, Sandalwood 15%",4,Too sweet,84f0f32b-40bc-49a6-bf41-3a3bbc8bc084
8/13/2026 15:40:46,rose,"Clove Bud + Cumin 7%, Lavender + Rose 88%, Sandalwood 5%",2,too much lavendar,84f0f32b-40bc-49a6-bf41-3a3bbc8bc084
8/13/2026 15:42:10,rose,"Lavender + Rose 42%, Clove Bud + Cumin 12%, Sandalwood 46%",5,add a little bit of sour / citrus smell,84f0f32b-40bc-49a6-bf41-3a3bbc8bc084
8/13/2026 15:43:06,rose,"Orange 8%, Lavender + Rose 40%, Clove Bud + Cumin 5%, Sandalwood 47%",3,,84f0f32b-40bc-49a6-bf41-3a3bbc8bc084
8/13/2026 15:44:36,rose,"Orange 18%, Lavender + Rose 82%",3,,84f0f32b-40bc-49a6-bf41-3a3bbc8bc084
8/13/2026 15:46:15,lavendar,"Orange 30%, Eucalyptus 15%, Sandalwood 55%",5,make it more pungent,d8a71831-6b54-4f8c-a272-f6cb2d1579b7
8/13/2026 15:46:49,lavendar,"Clove Bud + Cumin 30%, Lavender + Rose 50%, Sandalwood 20%",6,,d8a71831-6b54-4f8c-a272-f6cb2d1579b7
8/13/2026 15:48:53,peony and rose oil shampoo,"Lavender + Rose 72%, Benz Sal 28%",4,add sweetness to it,68faaf36-a351-4bf7-a807-217529eb35a9
8/13/2026 15:50:05,peony and rose oil shampoo,"Lavender + Rose 55%, Vanilla Sugar + Almond Extract 25%, Benz Sal 20%",4,"The sweetness is right, but there is too much lavendar. I want more of the rose",68faaf36-a351-4bf7-a807-217529eb35a9
8/13/2026 15:51:35,peony and rose oil shampoo,"Lavender + Rose 30%, Benz Sal 40%, Vanilla Sugar + Almond Extract 30%",5,Make the benz sal even strong to mask the lavendar sweet,68faaf36-a351-4bf7-a807-217529eb35a9
8/13/2026 15:52:27,peony and rose oil shampoo,"Lavender + Rose 12%, Benz Sal 63%, Vanilla Sugar + Almond Extract 25%",5,,68faaf36-a351-4bf7-a807-217529eb35a9
8/13/2026 15:53:51,jasmine tea,"Benz Sal 70%, Sandalwood 30%",4,"I like the warmth. The sweetness is too strong, the jasmine tea has a bitterness to it",cba0d908-3fdc-457c-98e1-679739c5647d
8/13/2026 15:54:41,jasmine tea,"Lavender + Rose 28%, Clove Bud + Cumin 12%, Sandalwood 60%",6,,cba0d908-3fdc-457c-98e1-679739c5647d
8/13/2026 15:55:56,ginger,"Orange 35%, Clove Bud + Cumin 65%",5,"Need a little bit of refreshing smell, perhaps eucalpytus",a5d5ef41-db37-427b-8b74-0ecddd31e921
8/13/2026 15:57:23,ginger,"Eucalyptus 10%, Orange 30%, Clove Bud + Cumin 60%",5,,a5d5ef41-db37-427b-8b74-0ecddd31e921
8/13/2026 15:58:46,ginger,"Eucalyptus 5%, Orange 30%, Clove Bud + Cumin 65%",6,make eucalyptus 5%,a5d5ef41-db37-427b-8b74-0ecddd31e921
8/13/2026 16:02:33,black pepper,"Cognac 20%, Clove Bud + Cumin 80%",4,More spiciness. Add a little bit of smokiness,70f7e2bb-ec72-4638-b427-fcf3dff504fe
8/13/2026 16:04:19,black pepper,"Cognac 24%, Clove Bud + Cumin 76%",3,"take out the smokiness, add a little bit of umami",70f7e2bb-ec72-4638-b427-fcf3dff504fe
8/13/2026 16:05:31,black pepper,"Cognac 18%, Clove Bud + Cumin 74%, Thyme + Olive Leaf + Seaweed + Garlic 8%",6,,70f7e2bb-ec72-4638-b427-fcf3dff504fe
8/13/2026 16:06:50,cinammon roll,"Benz Sal 60%, Birch tar oil + Coffee + Clove Bud 40%",2,"Smells like barbeque, not cinnamon. Cinnamon needs to be sweeter, instead of smoke, use spice",c523e96e-3c99-4c03-9bda-684dde2fca68
8/13/2026 16:08:15,cinammon roll,"Clove Bud + Cumin 30%, Vanilla Sugar + Almond Extract 55%, Benz Sal 15%",5,Add 5% umami to it,c523e96e-3c99-4c03-9bda-684dde2fca68
8/13/2026 16:09:19,cinammon roll,"Clove Bud + Cumin 25%, Thyme + Olive Leaf + Seaweed + Garlic 5%, Vanilla Sugar + Almond Extract 55%, Benz Sal 15%",4,"The umami did not fit it, it was odd. Otherwise it was close enough",c523e96e-3c99-4c03-9bda-684dde2fca68
8/13/2026 16:10:26,cinammon roll,"Clove Bud + Cumin 25%, Vanilla Sugar + Almond Extract 55%, Benz Sal 20%",5,,c523e96e-3c99-4c03-9bda-684dde2fca68
8/13/2026 16:12:06,chai tea,"Birch tar oil + Coffee + Clove Bud 25%, Vanilla Sugar + Almond Extract 75%",2,Replace the smoke with spice,93828e60-fd0c-46b7-b19c-18b1288a69e1
8/13/2026 16:13:01,chai tea,"Clove Bud + Cumin 60%, Vanilla Sugar + Almond Extract 40%",5,"Add a bit of mint, maybe 5% eucalyptus",93828e60-fd0c-46b7-b19c-18b1288a69e1
8/13/2026 16:13:41,chai tea,"Eucalyptus 5%, Clove Bud + Cumin 45%, Vanilla Sugar + Almond Extract 50%",6,,93828e60-fd0c-46b7-b19c-18b1288a69e1
8/13/2026 16:18:28,garlic,"Clove Bud + Cumin 20%, Thyme + Olive Leaf + Seaweed + Garlic 80%",4,"Make it less burnt garlic, not have lemongrass smelll in it",8a66c5a5-e943-4e7c-a663-791f71a908f6
8/13/2026 16:19:57,garlic,Thyme + Olive Leaf + Seaweed + Garlic 100%,5,,8a66c5a5-e943-4e7c-a663-791f71a908f6
8/13/2026 16:30:56,soy sauce,"Vinegar 20%, Birch tar oil + Coffee + Clove Bud 80%",4,"The generated one is a little bit too smoky. There's sharper notes in the soy sauce. And almost, it's like almost sweeter, but not quite. It's maybe like more, I don't know, garlicky or maybe I'm trying to think of what is around there. But this one was, the system one was too smoky for sure.",8a7bcbda-d6d1-47f1-bcdc-5ac52224e84b
8/13/2026 16:36:54,soy sauce,"Vinegar 18%, Thyme + Olive Leaf + Seaweed + Garlic 78%, Vanilla Sugar + Almond Extract 4%",5,"This was a lot closer. I think having that sweet note helped balance it a little bit, but I think it's still missing some sharper component. The smoke is a good layer to have, but I think it probably needs to come slightly earlier so it doesn't overwhelm the rest of the scents. So I'm not sure what sharp note would be added, but it's missing a little bit of bite.",8a7bcbda-d6d1-47f1-bcdc-5ac52224e84b
8/13/2026 16:38:09,soy sauce,"Birch tar oil + Coffee + Clove Bud 7%, Vinegar 20%, Thyme + Olive Leaf + Seaweed + Garlic 58%, Vanilla Sugar + Almond Extract 15%",5,,8a7bcbda-d6d1-47f1-bcdc-5ac52224e84b
8/13/2026 16:41:12,Parmesan cheese,"Thyme + Olive Leaf + Seaweed + Garlic 82%, Vanilla Sugar + Almond Extract 18%",4,"I think I could definitely use a little bit more of the acid. I'd be curious to smell it with less of the vanilla and almond. Yeah, I mean there's a funkiness that is captured, but it's not quite the same dairy-like funk. So the acid might get closer.",85aea5f3-7f05-46ee-a9a2-184868f5caeb
8/13/2026 16:47:37,Parmesan cheese,"Vanilla Sugar + Almond Extract 15%, Isovaleric acid 85%",4,,85aea5f3-7f05-46ee-a9a2-184868f5caeb
8/13/2026 16:50:10,garlic,"Thyme + Olive Leaf + Seaweed + Garlic 80 %, Clove Bud + Cumin 20%",3,definitely increase the note that has garlic in it and decrease the spices I feel like the spices were almost overwhelming but maybe because they came last I feel like yeah it was pretty far away from the garlic smell,71dfd513-0f16-417a-adbe-ddac22c0b33b
8/13/2026 16:53:04,garlic,Thyme + Olive Leaf + Seaweed + Garlic 100%,3,"I think potentially adding some of the like acid, you know, the like funkier thing might help, but maybe like, I don't know, 10% or 15%, I don't, I don't want it to be super overpowering, but like, it just, right now we're pretty far from what I think garlic smells like.",71dfd513-0f16-417a-adbe-ddac22c0b33b
8/13/2026 16:54:46,garlic,"Isovaleric acid 12%, Thyme + Olive Leaf + Seaweed + Garlic 88%",3,,71dfd513-0f16-417a-adbe-ddac22c0b33b
8/13/2026 16:57:29,Seasoned pull pork in bbq sauce,"Vinegar 10%, Clove Bud + Cumin 23%, Birch tar oil + Coffee + Clove Bud 45%, Vanilla Sugar + Almond Extract 22%",5,I think the mix of like spices and sweetness and stuff was very good. It's reminiscent of a lot of barbecue sauces or it almost reminds me more of like a jerk sauce like jerk chicken sauce than pork. It was really good. I think the only thing missing is something that feels more like maybe like the smoked meat itself. I noticed there was a little bit of that in there but if that comes first and then all of the things that made up the elements of the sauce that might help it feel more like the pork.,ffda9b00-236d-4ea3-b4c4-e835dc65a64e
8/13/2026 16:59:01,Seasoned pull pork in bbq sauce,"Birch tar oil + Coffee + Clove Bud 40%, Isovaleric acid 4%, Clove Bud + Cumin 26%, Vinegar 8%, Vanilla Sugar + Almond Extract 22%",5,,ffda9b00-236d-4ea3-b4c4-e835dc65a64e
8/13/2026 17:02:58,Salty popcorn,"Thyme + Olive Leaf + Seaweed + Garlic 18%, Vanilla Sugar + Almond Extract 82%",3,"I don't know if it's like butter popcorn or not, but it has the almost like a fattier element, like sort of like with the cheese, there's something that's missing from these. I feel like this mix also had some spices, which did not like fit at all with just like the corn and butter and salt that you kind of expect. I don't know if there's like a salty, whatever of the smells is closest to salty, but I feel like simpler is better in this case. I felt like what I got was too complex to just be popcorn.",bda4eddd-6e5b-44e3-b222-0a4149610bf2
8/13/2026 17:06:43,Salty popcorn,"Thyme + Olive Leaf + Seaweed + Garlic 18%, Vanilla Sugar + Almond Extract 82%",3,That one was a little bit too sweet. I think the two notes I smell most in actual popcorn is butter and salt. So whatever you can give me that is the closest to those things is better.,bda4eddd-6e5b-44e3-b222-0a4149610bf2
8/13/2026 17:08:44,Salty popcorn,"Thyme + Olive Leaf + Seaweed + Garlic 35%, Sandalwood 65%",3,,bda4eddd-6e5b-44e3-b222-0a4149610bf2
8/13/2026 17:11:05,coffee beans,"Birch tar oil + Coffee + Clove Bud 90%, Vanilla Sugar + Almond Extract 10%",3,"I think something that smells a little bit more burnt would be closer to like the roasted scent, not necessarily super smoky, but burnt to some degree, and less of the umami.",5a25bc4f-4c3a-4ecd-942a-0a9cdbc93592
8/13/2026 17:13:48,coffee beans,"Birch tar oil + Coffee + Clove Bud 95%, Vanilla Sugar + Almond Extract 5%",3,I think that was slightly closer. I think I'd be curious to see what like a 95% and a 5% ratio would be. Because I don't think it needs to be very sweet at all.,5a25bc4f-4c3a-4ecd-942a-0a9cdbc93592
8/13/2026 17:14:25,coffee beans,"Birch tar oil + Coffee + Clove Bud 95%, Vanilla Sugar + Almond Extract 5%",4,,5a25bc4f-4c3a-4ecd-942a-0a9cdbc93592
8/13/2026 17:17:00,Bacon,"Isovaleric acid 20%, Birch tar oil + Coffee + Clove Bud 80%",4,"I think, I think you can reduce some of the like more pungent, like the, the, was it acid? Slightly is maybe take like 10% from that and 10 to 20% from the smokiness and give it to whatever would be closest to kind of like a maple blend or like some sweeter thing because I do smell the meat and the smokiness like that's close but in the actual bacon there's also some sweet elements that I feel like are missing from this.",e5054ea1-9a90-4fd5-bf9f-a2940cb2ab13
8/13/2026 17:18:40,Bacon,"Isovaleric acid 20%, Birch tar oil + Coffee + Clove Bud 50%, Vanilla Sugar + Almond Extract 30%",3,I think that was a good try. I think reducing the sweetness maybe by half and adding that back into the smokiness would be helpful. Let's give that a shot.,e5054ea1-9a90-4fd5-bf9f-a2940cb2ab13
8/13/2026 17:19:27,Bacon,"Isovaleric acid 10%, Birch tar oil + Coffee + Clove Bud 75%, Vanilla Sugar + Almond Extract 15%",4,,e5054ea1-9a90-4fd5-bf9f-a2940cb2ab13
8/13/2026 17:22:01,korean bbq beef patty,"Thyme + Olive Leaf + Seaweed + Garlic 35%, Birch tar oil + Coffee + Clove Bud 50%, Vanilla Sugar + Almond Extract 15%",3,I think this original mix had some sweeter elements that I think can be reduced. I think the actual patty has a sharper scent. It's meaty.,3be63f9c-9126-41b4-8693-b5389b4fca28
