session_id,text,category,reason
4c17b31c-f278-4b4b-9ddc-8ccf499243a0,Kinuko.,noise,single_word_no_theme_match
2e377e07-9c3e-4daa-9348-6b194700a8bd,you,noise,single_word_no_theme_match
2dec8b48-6471-4f61-b20b-a71360621db5,焼肉,noise,single_word_no_theme_match
4b8459f4-54cf-4294-a5b1-e791902a7143,The smell of the sunset.,nature,manual_override
1fee6e97-03c5-4a91-b9aa-2c9ecd93f182,Create a perfume of lavender flower.,nature,keyword_match_score_2
6c7b2d3a-3c2a-4e53-8752-c50edfb5f04a,Toilet paper.,other,keyword_match_score_0
2213c4c2-dba6-4489-96f0-f25d9d4f6148,Give me the smell of lobster.,food,keyword_match_score_1
77195ffd-25f4-489d-addb-894a99c60276,"What do I like to smell? Yeah, what would you like to smell right now? Lavender. Lavender.",nature,manual_override
e4b10751-c230-449d-add9-dc2ee2274650,"Well, I know it's not happening, but I am running forward.",noise,manual_override
38833730-c173-405e-bdb5-4b7fdaa43de2,smell of Singapore,place,keyword_match_score_1
d8a0640d-6a25-4460-844a-16750f3cdfcc,I want the smell of walking through Chinatown in Singapore and smelling the chiffon cakes.,place,keyword_match_score_2
62b8eec6-e4bc-455c-ab2d-f644db7d1ec1,"Make a smell that is like abstract, emotional, very like heavy and depressing smell.",memory,manual_override
d9a17c26-f30d-4180-ae2a-ae8eb7426122,Of Singapore,place,keyword_match_score_1
9c74dbb4-0eee-4c25-8f9d-3349808a6673,Now of Singapore,place,keyword_match_score_1
ec42a8e0-94dc-4738-acaa-2e447d131f9b,of Korean BBQ.,food,keyword_match_score_1
a348baf3-ca64-4423-9967-f68a52dc872e,the smell of skewers in the Singapore Hakka Center,place,keyword_match_score_1
2043873e-9efe-4984-91cf-7536bc008181,"The air is thick with the scent of polished wood and the faint mustiness of a space long untouched, layered with an undercurrent of anticipation. Hushed whispers float like wisps of incense, mingling with the lingering warmth of past gatherings, while the walls pulse with vibrant colors, echoing a spirit of unity. A subtle chill brushes against the skin, as the smooth, cool metal of chairs glints under the muted lights, inviting a moment of reflection amidst the quiet.",place & memory,manual_override
d083ea44-139d-4475-9c91-59a238168be6,"So, I remember it was around nine in the morning. My wife was in the OR and we walked in about to give birth to our first child. And then, after a very short time, we hear the first cry and then a teardrop from my wife and a moment of relief, excitement and new beginnings.",memory,keyword_match_score_3
026debca-ce1b-4267-b2bd-bbc8f47e8c67,I have a memory of sister and myself.,memory,keyword_match_score_2
